Chapter,Notebook_Title,Notebook_URL,PDFs_Uploaded,Public,Date_Created,Status,Notes
Ch01,CBSE_Class11_Maths_Ch01_Sets,https://notebooklm.google.com/notebook/d110ef71-5140-428a-b14e-e0c37315017d,1,Yes,2025-12-16,Complete,
Ch02,CBSE_Class11_Maths_Ch02_RelationsFunctions,https://notebooklm.google.com/notebook/27bf8672-fb0c-44a5-afa6-032730f6286d,1,Yes,2025-12-16,Complete,
Ch03,CBSE_Class11_Maths_Ch03_TrigonometricFunctions,https://notebooklm.google.com/notebook/68000eef-e233-430e-9c13-20933c4c61cb,1,Yes,2025-12-16,Complete,
Ch04,CBSE_Class11_Maths_Ch04_ComplexNumbersQuadraticEquations,https://notebooklm.google.com/notebook/949ecf06-5c8f-474c-81d1-59687c898635,1,Yes,2025-12-16,Complete,
Ch05,CBSE_Class11_Maths_Ch05_LinearInequalities,https://notebooklm.google.com/notebook/8be07882-51b1-49b4-ad00-8ac48e41f242,1,Yes,2025-12-16,Complete,
Ch06,CBSE_Class11_Maths_Ch06_PermutationsCombinations,https://notebooklm.google.com/notebook/ee624288-61f5-4526-8334-e77ea77fe491,1,Yes,2025-12-16,Complete,
Ch07,CBSE_Class11_Maths_Ch07_BinomialTheorem,https://notebooklm.google.com/notebook/a5fcdadb-e01c-41b7-94c8-2c2e1ab9c5ae,1,Yes,2025-12-16,Complete,
Ch08,CBSE_Class11_Maths_Ch08_SequencesSeries,https://notebooklm.google.com/notebook/55060ca6-87ec-4a6f-bd92-dca1500d4fcc,1,Yes,2025-12-16,Complete,
Ch09,CBSE_Class11_Maths_Ch09_StraightLines,https://notebooklm.google.com/notebook/12ad64b4-a9dc-46ed-90f1-67b1ba908c2c,1,Yes,2025-12-16,Complete,
Ch10,CBSE_Class11_Maths_Ch10_ConicSections,https://notebooklm.google.com/notebook/2d5f9069-08f6-4a9c-aecb-e6551c41ced5,1,Yes,2025-12-16,Complete,
Ch11,CBSE_Class11_Maths_Ch11_IntroThreeDimensionalGeometry,https://notebooklm.google.com/notebook/a1d25630-2759-4c73-a981-e59a0b633405,1,Yes,2025-12-16,Complete,
Ch12,CBSE_Class11_Maths_Ch12_LimitsDerivatives,https://notebooklm.google.com/notebook/ade996e5-8cec-4d0f-9394-85f991f17e76,1,Yes,2025-12-16,Complete,
Ch13,CBSE_Class11_Maths_Ch13_Statistics,https://notebooklm.google.com/notebook/0f853fe1-e7a2-49b6-93ca-94df0e48486f,1,Yes,2025-12-16,Complete,
Ch14,CBSE_Class11_Maths_Ch14_Probability,https://notebooklm.google.com/notebook/855ac8f5-bd03-443e-8722-c6d9a69841c5,1,Yes,2025-12-16,Complete,
FullCourse,CBSE_Class11_Maths_FullCourse,https://notebooklm.google.com/notebook/7be381bc-d899-44c8-a9e7-ba57e2e6a47f,14,Yes,2025-12-16,Complete,
