Chapter,Notebook_URL,Notebook_Title,Is_Public,Audio_Overview,Audio_URL,Video_Overview,Video_URL,Mind_Map,Reports,Flashcards,Quiz,Infographic,Slide_Deck,Last_Checked,Notes
FullCourse,https://notebooklm.google.com/notebook/1b24a103-26d1-4845-a01f-3345253a630c,CBSE_Class10_Mathematics_FullCourse,yes,1,,1,,0,skip,1,1,1,1,2025-12-17 22:54,Mind Map missing - 6 of 7 assets - 34 sources
Ch01,https://notebooklm.google.com/notebook/1ef49af2-2dfb-46d9-88e1-1db73a6d7cf4,CBSE_Class10_Mathematics_Ch01_RealNumbers,yes,1,,1,,1,skip,1,1,1,1,2025-12-17 22:54,All 7 assets generated
Ch02,https://notebooklm.google.com/notebook/11cc56af-7126-48f2-b631-1f5e6c09f2d2,CBSE_Class10_Mathematics_Ch02_Polynomials,yes,1,,1,,1,skip,1,1,1,1,2025-12-17 22:54,All 7 assets generated
Ch03,https://notebooklm.google.com/notebook/bf2ac249-efb2-4325-b597-b89c9ac7bde4,CBSE_Class10_Mathematics_Ch03_LinearEquations,yes,1,,1,,1,skip,1,1,1,1,2025-12-17 22:54,All 7 assets generated
Ch04,https://notebooklm.google.com/notebook/28014514-5e2c-42ea-bb37-a74eec4ace7d,CBSE_Class10_Mathematics_Ch04_QuadraticEquations,yes,1,,1,,1,skip,1,1,1,1,2025-12-17 22:54,All 7 assets generated
Ch05,https://notebooklm.google.com/notebook/81475664-e438-48fc-b400-7517412ff4c3,CBSE_Class10_Mathematics_Ch05_ArithmeticProgressions,yes,1,,1,,1,skip,1,1,1,1,2025-12-17 22:54,All 7 assets generated
Ch06,https://notebooklm.google.com/notebook/4a0c5650-82b5-4f90-8578-499888c22eae,CBSE_Class10_Mathematics_Ch06_Triangles,yes,1,,1,,1,skip,1,1,1,1,2025-12-17 22:54,All 7 assets generated
Ch07,https://notebooklm.google.com/notebook/d4dfff34-56c4-4227-b7ab-bad682e95d1e,CBSE_Class10_Mathematics_Ch07_CoordinateGeometry,yes,1,,1,,1,skip,1,1,1,1,2025-12-17 22:54,All 7 assets generated
Ch08,https://notebooklm.google.com/notebook/077a1ca0-5cd7-4ec3-8a6a-0b5a58f2b669,CBSE_Class10_Mathematics_Ch08_Trigonometry,yes,1,,1,,1,skip,1,1,1,1,2025-12-17 22:54,All 7 assets generated
Ch09,https://notebooklm.google.com/notebook/38019881-8d83-4ed6-bb05-d8198cf0d1e1,CBSE_Class10_Mathematics_Ch09_ApplicationsTrigonometry,yes,1,,1,,1,skip,1,1,1,1,2025-12-17 22:54,All 7 assets generated
Ch10,https://notebooklm.google.com/notebook/4fcbdb47-82c0-4dc1-9cca-5977ebe1834a,CBSE_Class10_Mathematics_Ch10_Circles,yes,1,,1,,1,skip,1,1,1,1,2025-12-17 22:54,All 7 assets generated
Ch11,https://notebooklm.google.com/notebook/db2dcc02-0543-43b1-a8b1-541aa8415b4b,CBSE_Class10_Mathematics_Ch11_Constructions,yes,1,,1,,1,skip,1,1,1,1,2025-12-17 22:54,All 7 assets generated
Ch12,https://notebooklm.google.com/notebook/9220b68f-df1c-40ef-8a42-159d3f13922f,CBSE_Class10_Mathematics_Ch12_AreasCircles,yes,1,,1,,1,skip,1,1,1,1,2025-12-17 22:54,All 7 assets generated
Ch13,https://notebooklm.google.com/notebook/da243140-0292-4c04-815f-bf85fde9a1b8,CBSE_Class10_Mathematics_Ch13_SurfaceAreasVolumes,yes,1,,1,,1,skip,1,1,1,1,2025-12-17 22:54,All 7 assets generated
Ch14,https://notebooklm.google.com/notebook/8fb634e5-ac71-4cb0-ad7f-7f2c39871467,CBSE_Class10_Mathematics_Ch14_Statistics,yes,1,,1,,1,skip,1,1,1,1,2025-12-17 22:54,All 7 assets generated
