Chapter,Notebook_URL,Notebook_Title,Is_Public,Audio_Overview,Audio_URL,Video_Overview,Video_URL,Mind_Map,Reports,Flashcards,Quiz,Infographic,Slide_Deck,Last_Checked,Notes
Ch01,https://notebooklm.google.com/notebook/63c9a0bd-3a21-4e35-be71-489e17920da5,CBSE_Class11_Biology_Ch01_LivingWorld,yes,0,,1,,1,skip,1,1,0,0,2025-12-20 14:26,
Ch02,https://notebooklm.google.com/notebook/d746b1a5-3ac3-4d57-90d0-f2c7e144265a,CBSE_Class11_Biology_Ch02_BiologicalClassification,yes,0,,1,,1,skip,1,1,0,0,2025-12-20 14:26,
Ch03,https://notebooklm.google.com/notebook/fe547ff8-d26e-4f12-8493-d667040f7a3f,CBSE_Class11_Biology_Ch03_PlantKingdom,yes,0,,0,,2,skip,1,1,0,0,2025-12-20 14:26,
Ch04,https://notebooklm.google.com/notebook/6c85c70d-1be6-43cd-8e30-16a3d66accea,CBSE_Class11_Biology_Ch04_AnimalKingdom,yes,0,,0,,1,skip,1,1,0,0,2025-12-20 14:26,
Ch05,https://notebooklm.google.com/notebook/bbf972ee-69b6-4ce8-a536-253804ca95fc,CBSE_Class11_Biology_Ch05_MorphologyFloweringPlants,yes,0,,0,,1,skip,1,1,0,0,2025-12-20 14:26,
Ch06,https://notebooklm.google.com/notebook/7e3dd156-97f6-4b57-a793-cb72056b9edf,CBSE_Class11_Biology_Ch06_AnatomyFloweringPlants,yes,0,,0,,1,skip,1,1,0,0,2025-12-20 14:26,
Ch07,https://notebooklm.google.com/notebook/438264bd-3c54-465d-a1f8-6d2b8c184b45,CBSE_Class11_Biology_Ch07_StructuralOrganisationAnimals,yes,0,,0,,1,skip,1,1,0,0,2025-12-20 14:26,
Ch08,https://notebooklm.google.com/notebook/61155412-2ce9-4720-98a4-5efdf74942db,CBSE_Class11_Biology_Ch08_CellUnitLife,yes,0,,0,,1,skip,1,1,0,0,2025-12-20 14:26,
Ch09,https://notebooklm.google.com/notebook/216128a0-7e29-46b9-8c76-521d9ceae4c9,CBSE_Class11_Biology_Ch09_Biomolecules,yes,0,,0,,1,skip,1,1,0,0,2025-12-20 14:26,
Ch10,https://notebooklm.google.com/notebook/dd26c23a-e87c-4811-8752-50deacee6ea6,CBSE_Class11_Biology_Ch10_CellCycleCellDivision,yes,0,,0,,1,skip,1,1,0,0,2025-12-20 14:26,
Ch11,https://notebooklm.google.com/notebook/592da714-bece-4d18-9117-e76e603fbd5d,CBSE_Class11_Biology_Ch11_PhotosynthesisHigherPlants,yes,0,,0,,1,skip,1,1,0,0,2025-12-20 14:26,
Ch12,https://notebooklm.google.com/notebook/934d717f-f153-4952-ac8f-c035e50f3513,CBSE_Class11_Biology_Ch12_RespirationPlants,yes,0,,0,,1,skip,1,1,0,0,2025-12-20 14:26,
Ch13,https://notebooklm.google.com/notebook/cdc79d6c-2089-41d5-96c8-211115a3712f,CBSE_Class11_Biology_Ch13_PlantGrowthDevelopment,yes,0,,0,,1,skip,1,1,0,0,2025-12-20 14:26,
Ch14,https://notebooklm.google.com/notebook/4bf7f262-78fe-48f4-ab45-14213bdcb01a,CBSE_Class11_Biology_Ch14_BreathingExchangeGases,yes,0,,0,,1,skip,1,1,0,0,2025-12-20 14:26,
Ch15,https://notebooklm.google.com/notebook/4d070d7a-4c95-455c-a5f1-73b9fe740f78,CBSE_Class11_Biology_Ch15_BodyFluidsCirculation,yes,0,,0,,1,skip,1,1,0,0,2025-12-20 14:26,
Ch16,https://notebooklm.google.com/notebook/2e85a966-e8db-46cc-bec1-d3bf874ec15a,CBSE_Class11_Biology_Ch16_ExcretoryProductsElimination,yes,0,,0,,1,skip,1,1,0,0,2025-12-20 14:26,
Ch17,https://notebooklm.google.com/notebook/3464e3a9-6170-4aa4-a79a-692515173437,CBSE_Class11_Biology_Ch17_LocomotionMovement,yes,0,,0,,1,skip,1,1,0,0,2025-12-20 14:26,
Ch18,https://notebooklm.google.com/notebook/dc8febba-e670-4407-b5c0-f69707383cc5,CBSE_Class11_Biology_Ch18_NeuralControlCoordination,yes,0,,0,,1,skip,1,1,0,0,2025-12-20 14:26,
Ch19,https://notebooklm.google.com/notebook/641812a2-ff65-4e73-b5c1-5798c2ebecc2,CBSE_Class11_Biology_Ch19_ChemicalCoordinationIntegration,yes,0,,0,,1,skip,1,1,0,0,2025-12-20 14:26,
FullCourse,https://notebooklm.google.com/notebook/7926b4b0-0ea2-44f7-81e9-a5c2f48e8777,CBSE_Class11_Biology_FullCourse,yes,0,,0,,0,skip,0,0,0,0,2025-12-20 14:26,21 sources
