Chapter,Notebook_URL,Notebook_Title,Is_Public,Audio_Overview,Audio_URL,Video_Overview,Video_URL,Mind_Map,Reports,Flashcards,Quiz,Infographic,Slide_Deck,Last_Checked,Notes
Ch01,https://notebooklm.google.com/notebook/690d3154-84e8-4086-bc44-45698a87c117,CBSE_Class12_Mathematics_Ch01_RelationsFunctions,yes,1,,1,,1,skip,1,1,1,1,2025-12-16 22:28,
Ch02,https://notebooklm.google.com/notebook/8ede7637-912b-4988-a58c-643a1c83aef6,CBSE_Class12_Mathematics_Ch02_InverseTrigonometricFunctions,yes,1,,1,,1,skip,1,1,1,1,2025-12-16 22:28,
Ch03,https://notebooklm.google.com/notebook/a9e55f86-8dbd-4582-856e-b6eacc5d320d,CBSE_Class12_Mathematics_Ch03_Matrices,yes,1,,1,,1,skip,1,1,1,1,2025-12-16 22:28,
Ch04,https://notebooklm.google.com/notebook/1467878b-dbe4-4398-84f7-54ba667af39b,CBSE_Class12_Mathematics_Ch04_Determinants,yes,1,,1,,1,skip,1,1,1,1,2025-12-16 22:28,
Ch05,https://notebooklm.google.com/notebook/7e416ed3-7293-42d9-a40e-21991ac35337,CBSE_Class12_Mathematics_Ch05_ContinuityDifferentiability,yes,1,,1,,1,skip,1,1,1,1,2025-12-16 22:28,
Ch06,https://notebooklm.google.com/notebook/72b4e1f6-144d-43de-b2c0-0ec73dba8786,CBSE_Class12_Mathematics_Ch06_ApplicationsDerivatives,yes,1,,1,,1,skip,1,1,1,1,2025-12-16 22:28,
Ch07,https://notebooklm.google.com/notebook/02894da3-47c6-4435-9804-046b675ea854,CBSE_Class12_Mathematics_Ch07_Integrals,yes,1,,1,,1,skip,1,1,1,1,2025-12-16 22:28,
Ch08,https://notebooklm.google.com/notebook/21f6ef48-595d-4e02-9a80-e4e46bc1fc0a,CBSE_Class12_Mathematics_Ch08_ApplicationIntegrals,yes,1,,1,,1,skip,1,1,1,1,2025-12-16 22:28,
Ch09,https://notebooklm.google.com/notebook/83546ca2-b557-4339-827f-5d1f807770ca,CBSE_Class12_Mathematics_Ch09_DifferentialEquations,yes,1,,1,,1,skip,1,1,1,1,2025-12-16 22:28,
Ch10,https://notebooklm.google.com/notebook/5d13f2f2-a9e3-480c-9939-c65f0186c09b,CBSE_Class12_Mathematics_Ch10_Vectors,yes,1,,1,,1,skip,1,1,1,1,2025-12-16 22:28,
Ch11,https://notebooklm.google.com/notebook/be6d703b-5894-4133-988d-98523328cd00,CBSE_Class12_Mathematics_Ch11_ThreeDimensionalGeometry,yes,1,,1,,1,skip,1,1,1,1,2025-12-16 22:28,
Ch12,https://notebooklm.google.com/notebook/bbbe03b1-4991-4817-b37e-b8fea549b3d7,CBSE_Class12_Mathematics_Ch12_LinearProgramming,yes,1,,1,,1,skip,1,1,1,1,2025-12-16 22:28,
Ch13,https://notebooklm.google.com/notebook/bdda1eaa-fc38-49aa-beeb-fa0073d19833,CBSE_Class12_Mathematics_Ch13_Probability,yes,1,,1,,1,skip,1,1,1,1,2025-12-16 22:28,
FullCourse,https://notebooklm.google.com/notebook/479c4ee4-d940-47b8-8aec-7bb5542a501b,CBSE_Class12_Mathematics_FullCourse,yes,1,,1,,1,skip,1,1,1,1,2025-12-16 22:28,
