Chapter,NotebookTitle,NotebookURL,SourceCount,IsPublic,DateCreated,Status,Notes
Ch01,CBSE_Class11_Physics_Ch01_UnitsMeasurements,https://notebooklm.google.com/notebook/b992f886-f865-4275-ad3d-7ab04855d206,1,Yes,2025-12-14,Complete,
Ch02,CBSE_Class11_Physics_Ch02_MotionStraightLine,https://notebooklm.google.com/notebook/61622b18-7c9c-4990-806f-9e950e16e9cf,1,Yes,2025-12-14,Complete,
Ch03,CBSE_Class11_Physics_Ch03_MotionPlane,https://notebooklm.google.com/notebook/b79eee32-f074-4737-ab4f-c86b222bc6c3,1,Yes,2025-12-14,Complete,
Ch04,CBSE_Class11_Physics_Ch04_LawsMotion,https://notebooklm.google.com/notebook/42f875f1-bb93-42a4-a10f-fdd1171c4fe7,1,Yes,2025-12-14,Complete,
Ch05,CBSE_Class11_Physics_Ch05_WorkEnergyPower,https://notebooklm.google.com/notebook/9fc794d4-59e6-4818-9f5c-aa8696fdf718,1,Yes,2025-12-14,Complete,
Ch06,CBSE_Class11_Physics_Ch06_SystemParticlesRotationalMotion,https://notebooklm.google.com/notebook/2aa5180f-e385-4177-874b-219a1f9413a5,1,Yes,2025-12-14,Complete,
Ch07,CBSE_Class11_Physics_Ch07_Gravitation,https://notebooklm.google.com/notebook/51d71f36-8fba-4197-a995-918758ac3655,1,Yes,2025-12-14,Complete,
Ch08,CBSE_Class11_Physics_Ch08_MechanicalPropertiesSolids,https://notebooklm.google.com/notebook/dbdf6e18-1853-4da1-8873-1594e023aa98,1,Yes,2025-12-14,Complete,
Ch09,CBSE_Class11_Physics_Ch09_MechanicalPropertiesFluids,https://notebooklm.google.com/notebook/eba0eaaa-48e3-4228-beba-2edbd23393de,1,Yes,2025-12-15,Complete,
Ch10,CBSE_Class11_Physics_Ch10_ThermalPropertiesMatter,https://notebooklm.google.com/notebook/77e8a86b-ca51-4cf2-80aa-f407c64386f7,1,Yes,2025-12-15,Complete,
Ch11,CBSE_Class11_Physics_Ch11_Thermodynamics,https://notebooklm.google.com/notebook/57431ff0-9b36-4d82-a3f4-199edbf098d5,1,Yes,2025-12-15,Complete,
Ch12,CBSE_Class11_Physics_Ch12_KineticTheory,https://notebooklm.google.com/notebook/e69deeac-7b23-4e37-8269-984f5bac30f1,1,Yes,2025-12-15,Complete,
Ch13,CBSE_Class11_Physics_Ch13_Oscillations,https://notebooklm.google.com/notebook/b4ad02cd-24a0-4edb-aeab-60bcdcb4fb0a,1,Yes,2025-12-15,Complete,
Ch14,CBSE_Class11_Physics_Ch14_Waves,https://notebooklm.google.com/notebook/3128e009-34a0-490e-bc15-b806585f9b32,1,Yes,2025-12-15,Complete,
FullCourse,CBSE_Class11_Physics_FullCourse,https://notebooklm.google.com/notebook/4c01a088-3180-4032-910c-f976cb039396,18,Yes,2025-12-15,Complete,All 18 PDFs (14 chapters + 4 supplementary)
